path,rows_sampled,ann,sharpe,mdd,split,target_frac,hold_frac,market_timing_mode,checkpoint,predictor,window,weight_mode,period,portfolio_value,execution_lag,min_adv_cny,adv_participation_cap,alpha_jsonl,rebalance_band,return_mode,dynamic_min_mult,strategy,model,source,reliability,scenario,transform,mode
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p40\open_execution_summary.csv,4,62.74273490318412,2.8511442895551724,0.1229611052177998,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_close_exec1m_cap5_min20\open_execution_summary.csv,3,65.9885897868753,2.8430842294459544,0.0789541965748818,,0.03,0.4,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_close,,,,,,,,
backtest_results_v9_retention_20260531\raw_test_target3_execution_cap5_adv20m\yearly_summary.csv,6,79.54865760800843,2.841225149361603,0.0845633348745566,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\current_best_1m_2xcost_sensitivity.csv,6,52.50801272713053,2.838487034369661,0.1007517428750381,test,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,dynamic_min0p20,,,,,,
backtest_results_v9_retention_20260531\final_dynamic_min0p20_test_target3_hold50_open_to_open_exec1m_2xcost\open_execution_summary.csv,1,52.50801272713053,2.838487034369661,0.1007517428750381,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_min20_lag1\yearly_summary.csv,6,79.26652892996124,2.826576372272144,0.0980122964960508,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p50\open_execution_summary.csv,4,65.44497270414826,2.759098775737558,0.1347422687895772,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_exec_lag1_summary.csv,6,72.97182800744952,2.756983810420316,0.1407563831250558,test,,,,,,,,,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_min20_lag1_hold50\execution_constrained_summary.csv,1,72.97182800744952,2.756983810420316,0.1407563831250558,,0.03,0.5,legacy,,,,,,100000000.0,1.0,20000000.0,0.05,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,,,,,,,,,
backtest_results_v9_retention_20260531\final_dynamic_min0p30_test_target3_hold50_open_to_open_exec1m_2xcost\open_execution_summary.csv,1,55.062101181580616,2.753562644163774,0.1127269001857387,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_adv20m_hold3040_cost2x\yearly_summary.csv,6,74.49638550311744,2.751502794093785,0.0875273622711919,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_none\yearly_summary.csv,12,86.67614200805136,2.749798754253316,0.1098015948385901,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_exp_blend_raw75_avg25_hold100_test\ledger\yearly_summary.csv,6,82.30136745135934,2.7315562606908337,0.1265329493528885,,,,,,,,,2025,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy\yearly_summary.csv,12,67.23970277932882,2.728964047974338,0.1001196331606225,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_holdfine_maxweight_summary.csv,24,73.19,2.724,15.25,test,,0.5,,,,,,,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_minadv_sweep_summary.csv,24,73.19280407792321,2.7236300196892897,0.1524773137522483,test,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_summary.csv,6,73.19280407792321,2.7236300196892897,0.1524773137522483,test,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_targetfine_summary.csv,16,73.19280407792321,2.7236300196892897,0.1524773137522483,test,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20\open_execution_summary.csv,3,73.19280407792321,2.7236300196892897,0.1524773137522483,,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_holdfine_mw0p03\open_execution_summary.csv,4,73.19280407792321,2.7236300196892897,0.1524773137522483,,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_holdfine_mw0p04\open_execution_summary.csv,4,73.19280407792321,2.7236300196892897,0.1524773137522483,,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_holdfine_mw0p05\open_execution_summary.csv,4,73.19280407792321,2.7236300196892897,0.1524773137522483,,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_rerun\open_execution_summary.csv,3,73.19280407792321,2.7236300196892897,0.1524773137522483,,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20\open_execution_summary.csv,8,73.19280407792321,2.7236300196892897,0.1524773137522483,,0.03,0.5,legacy,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_execution_sensitivity_20260531\execution_constraint_sweep_summary.csv,54,71.82386225267356,2.7126089287986277,0.1340188525059571,,0.03,0.4,legacy,,,,,,100000000.0,,10000000.0,0.03,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_execution_sensitivity_20260531\top_by_sharpe.csv,20,71.82386225267356,2.7126089287986277,0.1340188525059571,,0.03,0.4,legacy,,,,,,100000000.0,,10000000.0,0.03,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min5\open_execution_summary.csv,3,72.38500187726969,2.708921110257979,0.1517156458402816,,0.03,0.5,legacy,,,,,,1000000.0,0.0,5000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_exp_rebalance_band10_pv1m_test\yearly_summary.csv,3,79.19963711454318,2.706721954093564,0.0826123943817735,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min10\open_execution_summary.csv,3,72.24034222279994,2.7050043545586044,0.1519067552008072,,0.03,0.5,legacy,,,,,,1000000.0,0.0,10000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_exp_legacy_bear40_test\yearly_summary.csv,6,60.9280188011134,2.695886535376528,0.0718626814418854,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_exp_rebalance_band20_test\yearly_summary.csv,6,78.62632623471582,2.693619523138492,0.0820231452580173,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p60\open_execution_summary.csv,4,68.14880819821872,2.6724489676024863,0.1464149234913986,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_test_plan_small_account_raw_test\yearly_summary.csv,6,73.31511891387996,2.6661230040318213,0.0860970579058695,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy\v9_retention_summary.csv,4,64.21658938833215,2.665402916267107,0.127911676236104,test,0.2,0.8,legacy,checkpoints_exp_topfocus_w005_topic\ultimate_v7_best.pt,v9_raw_persistent_average_w3,3.0,equal,,,,,,,,,,,,,,,,
