candidate,split,stress,capital,ann,sharpe,mdd,exec_to,blocked_buy
edge_r030_100,forward,lag1,100w,-62.627021364359145,-2.7005351648507188,0.1127900484127224,0.3654071092273999,1
negfilter_drop3,forward,lag1,100w,-62.48213638151147,-2.691568434441606,0.1125211638145469,0.3651914505473107,1
official,forward,lag1,100w,-62.62586179029172,-2.700406485448796,0.1127900484127224,0.3652840254600285,1
breadth_m085,forward,cost2x,50w,-57.564543408410906,-2.8986538190688886,0.1061917971497412,0.3105375687464814,0
edge_r030_100,forward,cost2x,50w,-63.1269237539962,-3.1817995721466947,0.1153245019249881,0.3130741785447729,0
negfilter_drop3,forward,cost2x,50w,-62.752793761268734,-3.1616376838729634,0.114594595385151,0.3130337026043054,0
official,forward,cost2x,50w,-63.1269237539962,-3.1817995721466947,0.1153245019249881,0.3130741785447729,0
breadth_m085,forward,cost2x,100w,-47.69418321406802,-1.8292993578056127,0.1093953575645055,0.3607862613590483,0
edge_r030_100,forward,cost2x,100w,-54.86652379020124,-2.146323208521096,0.1215220130043626,0.3669809184851291,0
negfilter_drop3,forward,cost2x,100w,-56.57466945946985,-2.3200400586473866,0.1215220130043626,0.3664145770693194,0
official,forward,cost2x,100w,-55.823369717615904,-2.2488555361651037,0.1215220130043626,0.367043800997706,0
