model,strategy,target_frac,hold_frac,market,split,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,reliability,source
V9 topfocus average_w3,retention target0.250/hold0.800,0.25,0.8,legacy,test,62.124934662149855,2.6322577689856383,0.125586844109285,0.0770171635677975,29.65747211895911,0.0206332039014082,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.600,0.4,0.6,legacy,test,58.7171245781466,2.6127319135871487,0.1150788712216778,0.144014164017053,14.053214442976662,0.0387994405732239,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.700,0.4,0.7,legacy,test,58.47815001769918,2.6085209596980725,0.1141731957240177,0.1070183843830207,19.76702486761017,0.028768034925456,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.500,0.4,0.5,legacy,test,59.00354593668382,2.608380618740664,0.1160432186997735,0.195210308596377,10.04812354385744,0.0526812751759076,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.800,0.3,0.8,legacy,test,60.28614878932255,2.608192492227197,0.121872357389804,0.0772158668832047,29.543636588075547,0.0206870823053809,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.800,0.4,0.8,legacy,test,57.91577851282644,2.5829559019864594,0.1161251228457592,0.0780771138238981,29.08223983962092,0.0209206094133499,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.900,0.15,0.9,legacy,test,62.09315262748132,2.5292887888325777,0.1430606553914266,0.0545160255230515,47.377821782178216,0.0145320203205754,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.900,0.1,0.9,legacy,test,64.06102900435191,2.5203341940867303,0.1505002079561501,0.0554710656714342,46.25790542500725,0.0147909794568093,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.900,0.2,0.9,legacy,test,59.97568769039772,2.500033236900366,0.1389497136113696,0.0536394386188591,48.48564048017019,0.0142943337815036,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.900,0.3,0.9,legacy,test,56.409598944105554,2.4572633388425658,0.1317251092496178,0.0526638261541719,49.80397461242327,0.0140297964617037,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.900,0.25,0.9,legacy,test,57.27295731456379,2.4555001811653536,0.1349720178826997,0.0530619446239736,49.22174234945706,0.0141377462847904,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
